Task,Metric,Train,Test,Gap
Supervisory,Bal-Acc,0.5780474278540819,0.472356168939142,0.10569125891493991
Supervisory,Macro-F1,0.5736254054407385,0.26091475845067086,0.3127106469900676
Supervisory,Kappa,0.4509268943954855,0.06164812783957396,0.38927876655591154
Operator,Bal-Acc,0.8200229290252009,0.6793671744669929,0.140655754558208
Operator,Macro-F1,0.784476325603919,0.6329957944204012,0.15148053118351779
Operator,Kappa,0.6392042538699112,0.3166693406064497,0.3225349132634615
Unsafe Acts,Bal-Acc,0.7076774404740591,0.421474358974359,0.28620308149970014
Unsafe Acts,Macro-F1,0.6331880983294883,0.2797278899925697,0.3534602083369186
Unsafe Acts,Kappa,0.5014989513066412,0.08388855239248949,0.41761039891415175
