Task,Train_Acc,Test_Acc,Gap
Supervisory,0.7535268957988729,0.45718323910874625,0.29634365669012663
Operator,0.6489936153950703,0.6509908522612697,-0.001997236866199459
Unsafe Cond,0.3142555999110781,0.3128205128205128,0.001435087090565279
