task,class,auc
Supervisory,0,0.5423
Supervisory,1,0.6369
Supervisory,2,0.3056
Supervisory,3,0.9958
Supervisory,macro_avg,0.6202
Operator,0,0.6566
Operator,1,0.9599
Operator,2,0.7421
Operator,macro_avg,0.7862
Unsafe Acts,0,0.7321
Unsafe Acts,1,0.4527
Unsafe Acts,2,0.6914
Unsafe Acts,3,0.5688
Unsafe Acts,macro_avg,0.6113
