Task,Metric,Train,Test,Gap
Supervisory,Bal-Acc,0.3506380985833041,0.27743598270701697,0.07320211587628711
Supervisory,Macro-F1,0.36685926933460516,0.2727618950896258,0.09409737424497938
Supervisory,Kappa,0.2139040430461101,0.1094910782475873,0.1044129647985228
Operator,Bal-Acc,0.5647005277111826,0.4729270930722837,0.09177343463889892
Operator,Macro-F1,0.6058052085795752,0.5025216888374784,0.10328351974209682
Operator,Kappa,0.4128911774702242,0.27819677020750777,0.13469440726271642
Unsafe Acts,Bal-Acc,0.2909864380031109,0.2987179487179487,-0.007731510714837797
Unsafe Acts,Macro-F1,0.2836974479567072,0.29441707717569787,-0.010719629218990667
Unsafe Acts,Kappa,0.035288588456461656,0.03232941977199244,0.0029591686844692155
