Task,Metric,Train,Test,Gap
Supervisory,Bal-Acc,0.4964401265687438,0.47675978272918745,0.019680343839556358
Supervisory,Macro-F1,0.48611169059725434,0.27753630808550717,0.20857538251174718
Supervisory,Kappa,0.37270669065287965,0.059271430288943217,0.31343526036393643
Operator,Bal-Acc,0.7217610744454804,0.7011365927881354,0.020624481657344984
Operator,Macro-F1,0.7099884709264312,0.643678478294217,0.06630999263221427
Operator,Kappa,0.5331125685568525,0.41843370087644893,0.11467886768040358
Unsafe Acts,Bal-Acc,0.5054319362227668,0.49241452991452994,0.01301740630823689
Unsafe Acts,Macro-F1,0.49266258592994727,0.38904984942266074,0.10361273650728653
Unsafe Acts,Kappa,0.3357547419039082,0.17443905183934727,0.16131569006456092
